Accession ID,Country,Lat,Long,group,population,SpFrostDay,AridityIndex,ClimWaterDeficit,CarbonFluxSp,DiurnalRange,TaveWarmestQtr,TColdestQtr,TminColdestMth,TminSp,PETsu,Precipitation,TempRange,TSeasonality,VaporPressureSp,ExcessSalts,RootingCond,SoilpH_KCL,Toxicity,CloudCoverSp,CloudCoverSu,OzoneSp,OzoneSu,SolarRadiationSp,SolarRadiationSu,UVindexSp,UVindexSu
1942,USA,43.5251,-86.1843,N.America,Germany,24.32666667,0.803441226,-451.4732971,-1.76E-07,19.83748436,20.75098991,-3.527719498,-15.55029583,-3.843710502,39.45833333,45.65217391,44.19221497,882.1071777,7.366666667,1,1,43,1,68.67,59.86,352.9706513,316.03436,15902.66667,20570.33333,6.33725516,8.972549438
1943,USA,43.5251,-86.1843,N.America,Germany,24.32666667,0.803441226,-451.4732971,-1.76E-07,19.83748436,20.75098991,-3.527719498,-15.55029583,-3.843710502,39.45833333,45.65217391,44.19221497,882.1071777,7.366666667,1,1,43,1,68.67,59.86,352.9706513,316.03436,15902.66667,20570.33333,6.33725516,8.972549438
1954,USA,43.5187,-86.1739,N.America,Germany,24.32666667,0.803441226,-451.4732971,-1.59E-07,19.9162674,20.74913025,-3.548331499,-15.58933544,-3.883775234,39.45833333,45.65217391,44.28063202,883.1154175,7.366666667,1,1,42,1,68.67,59.86,352.9706513,316.03436,15954.66667,20559,6.33725516,8.972549438
2016,USA,43.5356,-86.1788,N.America,Admixed,24.32666667,0.803441226,-451.4732971,-1.65E-07,19.90333557,20.73173523,-3.566296339,-15.60698891,-3.893185377,39.45833333,45.65217391,44.27295303,883.0446777,7.366666667,1,1,43,1,68.67,59.86,352.9706513,316.03436,15902.33333,20532.66667,6.33725516,8.972549438
2017,USA,43.5356,-86.1788,N.America,Germany,24.32666667,0.803441226,-451.4732971,-1.65E-07,19.90333557,20.73173523,-3.566296339,-15.60698891,-3.893185377,39.45833333,45.65217391,44.27295303,883.0446777,7.366666667,1,1,43,1,68.67,59.86,352.9706513,316.03436,15902.33333,20532.66667,6.33725516,8.972549438
2031,USA,42.166,-86.412,N.America,Germany,20.56666667,0.788228869,-473.7866516,-3.36E-07,19.73472023,21.76934052,-1.992126465,-14.19329929,-2.188738346,42.91666667,48.69565218,43.61225128,864.9371338,8.063333333,1,1,53,1,70.13,60.56666667,347.0054848,313.2188036,15900,20645.33333,6.713725726,9.28627491
2053,USA,42.166,-86.412,N.America,Germany,20.56666667,0.788228869,-473.7866516,-3.36E-07,19.73472023,21.76934052,-1.992126465,-14.19329929,-2.188738346,42.91666667,48.69565218,43.61225128,864.9371338,8.063333333,1,1,53,1,70.13,60.56666667,347.0054848,313.2188036,15900,20645.33333,6.713725726,9.28627491
2057,USA,42.166,-86.412,N.America,Germany,20.56666667,0.788228869,-473.7866516,-3.36E-07,19.73472023,21.76934052,-1.992126465,-14.19329929,-2.188738346,42.91666667,48.69565218,43.61225128,864.9371338,8.063333333,1,1,53,1,70.13,60.56666667,347.0054848,313.2188036,15900,20645.33333,6.713725726,9.28627491
2081,USA,43.2483,-86.3368,N.America,Germany,22.66666667,0.69657594,-454.4295057,-2.47E-07,18.14969635,20.92505836,-2.849234104,-14.40152073,-3.045741638,39.875,46.08695652,42.08433914,858.9083862,7.7,7,7,47,7,68.65666667,59.5,351.5390098,315.1753762,16021,20701.66667,6.462745349,9.077124596
2091,USA,43.2483,-86.3368,N.America,Germany,22.66666667,0.69657594,-454.4479595,-2.47E-07,18.14969635,20.92505836,-2.849234104,-14.40152073,-3.045741638,39.875,46.08695652,42.08433914,858.9083862,7.7,7,7,47,7,68.65666667,59.5,351.5390098,315.1753762,16021,20701.66667,6.462745349,9.077124596
2106,USA,43.2749,-86.0891,N.America,Germany,22.66666667,0.778564394,-457.4333191,-1.89E-07,19.72623444,21.00766182,-3.162752867,-15.09876442,-3.523872932,39.875,46.08695652,43.91477966,878.2970581,7.7,1,1,48,1,68.65666667,59.5,352.1593868,315.6525888,15864.33333,20532.33333,6.462745349,9.077124596
2108,USA,43.2749,-86.0891,N.America,Germany,22.66666667,0.778564394,-457.4333191,-1.87E-07,19.72623444,21.00766182,-3.162752867,-15.09876442,-3.523872932,39.875,46.08695652,43.91477966,878.2970581,7.7,1,1,48,1,68.65666667,59.5,352.1593868,315.6525888,15864.33333,20532.33333,6.462745349,9.077124596
2141,USA,43.2749,-86.0891,N.America,Germany,22.66666667,0.778564394,-457.4333191,-1.87E-07,19.72623444,21.00766182,-3.162752867,-15.09876442,-3.523872932,39.875,46.08695652,43.91477966,878.2970581,7.7,1,1,48,1,68.65666667,59.5,352.1593868,315.6525888,15864.33333,20532.33333,6.462745349,9.077124596
2159,USA,42.148,-86.431,N.America,Germany,20.56666667,0.801011503,-454.5533447,-3.34E-07,19.75782776,21.81288147,-1.947642207,-14.17700863,-2.131741087,42.91666667,48.69565218,43.65110016,864.9820557,8.063333333,1,1,48,1,70.13,60.56666667,347.0054848,313.2188036,15891,20713.66667,6.713725726,9.28627491
2166,USA,42.148,-86.431,N.America,Germany,20.56666667,0.801011503,-454.5533447,-3.34E-07,19.75782776,21.81288147,-1.947642207,-14.17700863,-2.131741087,42.91666667,48.69565218,43.65110016,864.9820557,8.063333333,1,1,48,1,70.13,60.56666667,347.0054848,313.2188036,15891,20713.66667,6.713725726,9.28627491
2171,USA,42.148,-86.431,N.America,Germany,20.56666667,0.801011503,-454.5533447,-3.34E-07,19.75782776,21.81288147,-1.947642207,-14.17700863,-2.131741087,42.91666667,48.69565218,43.65110016,864.9820557,8.063333333,1,1,48,1,70.13,60.56666667,347.0054848,313.2188036,15891,20713.66667,6.713725726,9.28627491
2191,USA,43.7623,-86.3929,N.America,Germany,24.32666667,0.808909953,-428.940033,-2.00E-07,18.91351891,20.66531754,-3.399081469,-15.25566578,-3.583612601,39.45833333,45.65217391,43.20827866,870.1420288,7.366666667,1,1,49,1,68.67,59.86,353.7819149,316.1775235,15949,20642.66667,6.33725516,8.972549438
2202,USA,43.7623,-86.3929,N.America,Admixed,24.32666667,0.808909953,-428.940033,-2.00E-07,18.91351891,20.66531754,-3.399081469,-15.25566578,-3.583612601,39.45833333,45.65217391,43.20827866,870.1420288,7.366666667,1,1,49,1,68.67,59.86,353.7819149,316.1775235,15949,20642.66667,6.33725516,8.972549438
2212,USA,43.7623,-86.3929,N.America,Germany,24.32666667,0.808909953,-428.940033,-2.00E-07,18.91351891,20.66531754,-3.399081469,-15.25566578,-3.583612601,39.45833333,45.65217391,43.20827866,870.1420288,7.366666667,1,1,49,1,68.67,59.86,353.7819149,316.1775235,15949,20642.66667,6.33725516,8.972549438
2239,USA,42.184,-86.382,N.America,Germany,20.56666667,0.804660022,-469.206665,-3.25E-07,19.74594307,21.75293732,-2.01168561,-14.17775536,-2.218237042,42.91666667,48.69565218,43.59236145,865.0466919,8.063333333,1,1,48,1,70.13,60.56666667,347.0054848,313.2188036,15874.33333,20624.66667,6.713725726,9.28627491
2240,USA,42.184,-86.382,N.America,Germany,20.56666667,0.804660022,-469.206665,-3.25E-07,19.74594307,21.75293732,-2.01168561,-14.17775536,-2.218237042,42.91666667,48.69565218,43.59236145,865.0466919,8.063333333,1,1,48,1,70.13,60.56666667,347.0054848,313.2188036,15874.33333,20624.66667,6.713725726,9.28627491
2276,USA,43.665,-86.496,N.America,Admixed,24.32666667,0.803743958,-429.706665,-2.27E-07,18.2792778,20.69957733,-3.218696594,-14.97783661,-3.311461131,39.45833333,50,42.56946564,863.1651001,7.366666667,1,1,48.42072753,1,68.67,59.86,353.0660928,315.9389168,15753.66667,20565.33333,6.33725516,8.972549438
2278,USA,43.665,-86.496,N.America,Germany,24.32666667,0.803743958,-429.706665,-2.27E-07,18.2792778,20.69957733,-3.218696594,-14.97783661,-3.311461131,39.45833333,50,42.56946564,863.1651001,7.366666667,1,1,48.42072753,1,68.67,59.86,353.0660928,315.9389168,15753.66667,20565.33333,6.33725516,8.972549438
2285,USA,43.665,-86.496,N.America,Germany,24.32666667,0.803743958,-429.706665,-2.27E-07,18.2792778,20.69957733,-3.218696594,-14.97783661,-3.311461131,39.45833333,50,42.56946564,863.1651001,7.366666667,1,1,48.42072753,1,68.67,59.86,353.0660928,315.9389168,15753.66667,20565.33333,6.33725516,8.972549438
2286,USA,43.665,-86.496,N.America,Germany,24.32666667,0.803743958,-429.706665,-2.27E-07,18.2792778,20.69957733,-3.218696594,-14.97783661,-3.311461131,39.45833333,50,42.56946564,863.1651001,7.366666667,1,1,48.42072753,1,68.67,59.86,353.0660928,315.9389168,15753.66667,20565.33333,6.33725516,8.972549438
2317,USA,42.03,-86.514,N.America,Admixed,20.46666667,0.755171657,-479.4466858,-3.09E-07,20.10900688,21.88959885,-1.959106803,-14.45906925,-2.126709143,44.45339274,51.30434783,44.19984055,869.6534424,8.696666667,1,1,52,1,68.52666667,59.48666667,347.387257,313.648296,15888,20692.33333,6.671895663,9.265359879
2370,USA,41.865,-86.646,N.America,Germany,19.93333333,0.781395137,-436.9867249,-0.000000237,20.61405563,22.0058651,-1.999079347,-14.93871403,-2.13857309,42.5,50.43478261,45.03715515,877.1600342,8.116666667,1,1,49,1,70.03333333,60.99333333,346.4805538,313.1710834,15897,20754.66667,6.818300883,9.390850067
2412,USA,41.865,-86.646,N.America,Germany,19.93333333,0.781395137,-436.9867249,-0.000000237,20.61405563,22.0058651,-1.999079347,-14.93871403,-2.13857309,42.5,50.43478261,45.03715515,877.1600342,8.116666667,1,1,49,1,70.03333333,60.99333333,346.4805538,313.1710834,15897,20754.66667,6.818300883,9.390850067
4779,UK,50.4,-4.9,Ireland+UK+France,WesternEurope,9.366666667,1.081430833,-239.9071594,-0.000000562,9.289476395,15.51579571,6.355541706,0.597286403,3.927009424,28.04166667,1.739130435,19.3518486,332.3771973,10.18,1,2,40,1,67.39,66.04333333,360.7969462,332.0209952,14001.33333,17629.66667,4.894117753,7.236601353
4807,UK,50.4,-4.9,Ireland+UK+France,WesternEurope,9.366666667,1.081507023,-239.8322136,-0.000000562,9.289476395,15.51579571,6.355541706,0.597286403,3.927009424,28.04166667,1.739130435,19.3518486,332.3771973,10.18,1,2,40,1,67.39,66.04333333,360.7969462,332.0209952,14001.33333,17629.66667,4.894117753,7.236601353
